,Port,Ship,State
449,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 14,Depature
450,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRANFERRY 10,Arrival
451,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEA TRAN FERRY 7,Arrival
452,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 14,Arrival
453,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEA TRAN FERRY 7,Arrival
454,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 9,Arrival
455,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRANFERRY 11,Arrival
456,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 4,Arrival
457,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRANFERRY 10,Arrival
458,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 14,Arrival
459,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEA TRAN FERRY 7,Arrival
460,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRANFERRY 11,Arrival
461,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 9,Arrival
462,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 4,Arrival
463,THUSM/SNS03 (ท่าเทียบเรือเกาะสมุยแห่งที่ 2 ),SEATRAN FERRY 14,Arrival
464,THUSM/SNS04 (ท่าเทียบเรือเกาะสมุยแห่งที่ 1 ),ROYALJET3,Arrival
465,THUSM/SNS04 (ท่าเทียบเรือเกาะสมุยแห่งที่ 1 ),ROYALJET3,Arrival
