,Port,Ship,State
74,THLCH/LCBC0 (LAEMCHABANG C 0 ),MARIANNE DANICA,Arrival
75,THLCH/LCBC0 (LAEMCHABANG C 0 ),MARIANNE DANICA,Depature
76,THLCH/LCBC0 (LAEMCHABANG C 0 ),MARIANNE DANICA,Arrival
77,THLCH/LCBC0 (LAEMCHABANG C 0 ),MARIANNE DANICA,Depature
78,THLCH/LCBC1 (LAEMCHABANG C 1 ),NP CHUMPHON,Arrival
79,THLCH/LCBC1 (LAEMCHABANG C 1 ),PINNCHAREON 2,Arrival
80,THLCH/LCBC1 (LAEMCHABANG C 1 ),LERT PHRAWWILAI,Arrival
81,THLCH/LCBC1 (LAEMCHABANG C 1 ),MARINA ONE,Arrival
82,THLCH/LCBC1 (LAEMCHABANG C 1 ),MARINA ONE,Arrival
83,THLCH/LCBC2 (LAEMCHABANG C 2 ),MSC SOPHIE,Depature
84,THLCH/LCBD1 (ท่าเทียบเรือบริษัท ฮัทชิสัน แหลมฉบัง เทอร์มินัล จำกัด ),ONE GRUS,Arrival
85,THLCH/LCBD1 (ท่าเทียบเรือบริษัท ฮัทชิสัน แหลมฉบัง เทอร์มินัล จำกัด ),ONE GRUS,Arrival
86,THLCH/LCBD1 (ท่าเทียบเรือบริษัท ฮัทชิสัน แหลมฉบัง เทอร์มินัล จำกัด ),ONE MEISHAN,Arrival
87,THLCH/LCPA1 (ท่าเทียบเรือชายฝั่ง A หมายเลข 1 (LCBPA1) ),NP SAMUTSONGKHRAM,Arrival
88,THMAT/MTT04 (ท่าเทียบเรือ MTT - 4 (ท่าเทียบเรือหมายเลข 4) ),EAGLE ASIA 08,Arrival
89,THMAT/PGCE2 (ท่าเทียบเรือ PTTGC-E2 (ท่าเทียบเรือทิศตะวันออกหมายเลข 2) ),BIG SEA 104,Arrival
90,THMAT/PGCE2 (ท่าเทียบเรือ PTTGC-E2 (ท่าเทียบเรือทิศตะวันออกหมายเลข 2) ),GT VICTORY,Arrival
91,THMAT/PGCW1 (ท่าเทียบเรือ PTTGC-W1 (ท่าเทียบเรือทิศตะวันตกหมายเลข 1) ),PHUBAI NADDA 1,Arrival
92,THMAT/PTLN2 (ท่าเทียบเรือ PTT LNG 2 (มาบตาพุด แอลเอ็นจี หมายเลข 2) ),PUTERI FIRUS SATU,Arrival
93,THMAT/TANK1 (ท่าเรือ PTT-TANK ท่าหมายเลข ๑ ),NP BANGPAKONG,Depature
94,THMAT/TANK1 (ท่าเรือ PTT-TANK ท่าหมายเลข ๑ ),NP BANGPAKONG,Arrival
95,THMAT/THRTC (ท่าเรือ RTC ),COUGAR,Depature
96,THMAT/THRTC (ท่าเรือ RTC ),COUGAR,Arrival
97,THMAT/TPT02 (ท่าเรือ TPT2 ),AJISAI,Arrival
98,THMAT/TTT02 (ท่าเรือ TTT ท่าหมายเลข ๒ ),GREAT WALRUS,Arrival
99,THPKT/HKT01 (ท่าเรือน้ำลึกภูเก็ต ),BATIS,Arrival
100,THPNA/AYT19 (บริษัท ไอ อาร์ พี ซี จำกัด ),RAKPASAK 2,Arrival
101,THRYG/IRPC2 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 2 บี ),YOU SHEN 1,Arrival
102,THRYG/IRPC3 (ท่าเทียบเรือ ไออาร์พีซี เทอร์มินัล 3 ),INDIGO RAY,Arrival
103,THSGK/SGS09 (ท่าเรือคลังปิโตเลี่ยม 01 ),PP 7,Arrival
104,THSGK/SGS10 (ท่าเรือคลังปิโตเลี่ยม 02 ),SRI PHUNPIN,Arrival
105,THSGK/SGZ03 (ท่าเรือเชลล์ สงขลา ),SRI TAH CHANA,Arrival
106,THSGK/SGZ03 (ท่าเรือเชลล์ สงขลา ),V.L.22,Arrival
107,THSNT/STL01 (ท่าเทียบเรือท่องเที่ยวและอเนกประสงค์ปากบารา (ท่าเรือโดยสาร) ),ORCA OKTAVIA,Arrival
108,THSRI/KSP10 (KERRY SIAM SEAPORT NO. 10 ),INCEDA,Arrival
109,THSRI/KSP10 (KERRY SIAM SEAPORT NO. 10 ),MTT SEMPORNA,Arrival
110,THSRI/KSP10 (KERRY SIAM SEAPORT NO. 10 ),MTT SEMPORNA,Depature
111,THSRI/THAUD (AO-U-DOM ),VAREEWAN,Arrival
112,THSRI/TOIL3 (THAI OIL JETTY NO. 3 ),ANANTANASIN,Arrival
113,THSRI/TOIL4 (THAI OIL JETTY NO. 4 ),PHUBAI  PATTRA 1,Arrival
114,THSRI/TOIL4 (THAI OIL JETTY NO. 4 ),SIRI PIPAT,Arrival
115,THSRI/TOIL6 (THAI OIL JETTY NO. 6 ),LAPIS,Arrival
116,THSRI/TSBM1 (THAI OIL SBM 1 ),EAGLE KINARUT,Arrival
117,THURT/SNM18 (บริษัท เอ็น พี มารีน จำกัด ),NP RATCHABURI,Arrival
118,THURT/SNM18 (บริษัท เอ็น พี มารีน จำกัด ),NP SURATTHANI 2,Arrival
119,THURT/SNM21 (บริษัท สุราษฎร์พอร์ทแอนด์เทอร์มินอล จำกัด ),HARI BHUM,Arrival
